sep=;
Title;GameID;Version;Edition;Date;Region;Languages
09 Chairs;HDR-0030  ;V1.050;Original;19990625;Japan;Japanese
18 Wheeler: American Pro Trucker;MK-5106450;V1.700;Original;20010430;Europe;English,French,German,Spanish
18 Wheeler: American Pro Trucker;HDR-0080  ;V1.006;Original;20000909;Japan;Japanese
18 Wheeler: American Pro Trucker;MK-51064  ;V1.500;Original;20010423;USA;English
21: Two One;T46503M   ;V1.003;Shokai Genteiban;20011118;Japan;Japanese
4 Wheel Thunder;T-9706D-50;V1.002;Original, Sample;20000408;Europe;English,French
4 Wheel Thunder;T-9708N   ;V1.002;Original;20000405;USA;English
4x4 Evo;T41903N   ;V1.001;Original;20001012;USA;
90 Minutes: Sega Championship Football;MK-5119050;V1.009;Original;20010921;Europe;English,French,German,Italian,Spanish
Action Replay CDX Version 3.0;HDR-0030  ;V1.060;Unlicensed;19990722;France;French
Action Replay CDX: Demo Version;HDR-0030  ;V1.060;Unlicensed;19990722;UK;English
Advanced Daisenryaku 2001;HDR-0158  ;V1.008;Original;20010403;Japan;Japanese
Advanced Daisenryaku: Sturm  ber Europa: Der Deutsche Blitzkrieg;HDR-0066  ;V1.013;Original;20000529;Japan;Japanese
Aero Dancing F;6107740   ;V1.000;Taikenban;19991213;Japan;Japanese
Aero Dancing F;T6804M    ;V1.006;Original;20000121;Japan;Japanese
Aero Dancing F;T6804M    ;V2.000;Dorikore;20000215;Japan;Japanese
Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou;T6805M    ;V2.000;Original;20001017;Japan;Japanese
Aero Dancing featuring Blue Impulse;6107106   ;V1.001;Tentou Taikenban;19990115;Japan;Japanese
Aero Dancing featuring Blue Impulse;T6802M    ;V1.003;Original;19990201;Japan;Japanese
Aero Dancing i;T6807M    ;V1.002;Original;20010108;Japan;Japanese
Aero Dancing i: Jikai Saku made Matemasen;T6809M    ;V1.000;Original;20010622;Japan;Japanese
Aero Dancing: Todoroki Taichou no Himitsu Disc;T6803M    ;V1.001;Original;19991130;Japan;Japanese
Aero to Jet de Dancing! (Taikenban Disc);6108017   ;V1.001;Taikenban;20001222;Japan;Japanese
AeroWings;T40202D 50;V1.001;Original;19990819;Europe;English,French,German
AeroWings;T40201N   ;V1.002;Original;19990811;USA;English
AeroWings 2: Airstrike;T40209D 50;V1.001;Original;20000718;Europe;English,German
AeroWings 2: Airstrike;T40210N   ;V1.001;Original;20000616;USA;
After... Wasureenu Kizuna;T18706M   ;V1.002;Original, Shokai Genteiban;20040113;Japan;Japanese
Aikagi: Hidamari to Kanojo no Heyagi;T20130M   ;V1.001;Shokai Genteiban;20030707;Japan;Japanese
Air;T20112M   ;V2.000;Original;20010827;Japan;Japanese
AirForce Delta;T9502M    ;V1.002;Original;19990614;Japan;
AirForce Delta;T9501N    ;V1.000;Original;19990721;USA;English
Akihabara Dennou-gumi Pata Pies!;HDR-0019  ;V1.000;Original;19990415;Japan;Japanese
Alice Dreams;T0000     ;V2.1.0;Demo: Unlicensed;20020607;France;
Alice Sisters;T0000     ;V4.2  ;Unlicensed;20200106;USA, Japan;English
Alien Front Online;MK-51171  ;V1.000;Original;20010625;USA;English
Alone in the Dark: The New Nightmare (Disc 1);T15117N   ;V1.000;Original;20010423;Europe;English
Alone in the Dark: The New Nightmare (Disc 2);T15117N   ;V1.000;Original;20010423;Europe;English
Alone in the Dark: The New Nightmare (Disc 1);T15117N   ;V1.000;Original;20010423;France;French
Alone in the Dark: The New Nightmare (Disc 2);T15117N   ;V1.000;Original;20010423;France;French
Alone in the Dark: The New Nightmare (Disc 1);T15117N   ;V1.000;Original;20010423;Germany;English,German
Alone in the Dark: The New Nightmare (Disc 2);T15117N   ;V1.000;Original;20010423;Germany;English,German
Alone in the Dark: The New Nightmare (Disc 1);T15117N   ;V1.000;Original;20010716;USA;English
Alone in the Dark: The New Nightmare (Disc 2);T15117N   ;V1.000;Original;20010716;USA;English
