Filename,Title,GameID,Region,FMID
18WHDATA.SYS,18 Wheeler: Pro American Trucker,MK-5106450,Europe,MK51064
18WHDATA.SYS,18 Wheeler: Pro American Trucker,HDR-0080  ,Japan,MK51064
18WHDATA.SYS,18 Wheeler: Pro American Trucker,MK-51064  ,USA,MK51064
4WHLTHNDR_BK,4 Wheel Thunder,T-9706D-50,Europe,
4WHLTHNDR_BK,4 Wheel Thunder,T-9708N   ,USA,
4X4__EVO.P??,4x4 Evolution,T41903N   ,USA,
AEROWING.SYS,Aero Wings,T40202D 50,Europe,T6803M
AEROWING.SYS,Aero Wings,T40201N   ,USA,T6803M
AEROWIN2.???,Aero Wings 2: Air Strike,T40209D 50,Europe,T40209D
AEROWIN2.???,Aero Wings 2: Air Strike,T40210N   ,USA,T40209D
AIRFORCE.???,Air Force Delta,T9502M    ,Japan,T9502M
AIRFORCE.???,Air Force Delta,T9501N    ,USA,T9502M
_ALONE4_.???,Alone in the Dark: The New Nightmare,T15117N   ,Any,
ANGELPRE_SYS,Angel Present,T20107M   ,Japan,T20107M
AQUAGTRACING,Aqua GT,T40509D 50,Europe,T40509D50
ARCADIA?????,Eternal Arcadia,HDR-0076  ,Japan,HDR0076
E.ARCADIA???,Skies of Arcadia,MK-51052  ,Europe,HDR0076
S.ARCADIA???,Skies of Arcadia,MK-51052  ,USA,HDR0076
CDX_CODES_00,Action Replay CDX,HDR-0030,Any,
ARMADA00.DAT,Armada,T40301N 00,USA,T40301N
AM_SARGE.SAV,Army Men: Sarge's Heroes,T9708D  50,Europe,T9708D50
AM_SARGE.SAV,Army Men: Sarge's Heroes,T-9715N   ,USA,T9708D50
BANGBANG.???,Bang! Gunship Elite,T44102N   ,USA,T44102N
BANGAIO?????,Bangai-O,T7011D  50,Europe,T7011D
BANGAIO?????,Bangai-O,T40217N   ,USA,T7011D
WSBB2K1__DAT,World Series Baseball 2K1,HDR-0157  ,Japan,HDR0157
WSBB2K1__DAT,World Series Baseball 2K1,MK-51055  ,USA,HDR0157
wsbb_2k2_???,World Series Baseball 2K2,HDR-0198  ,Japan,
wsbb_2k2_???,World Series Baseball 2K2,MK-51152  ,USA,MK51152
BASS_FISHING,Sega Bass Fishing,MK-5100650,Europe,MK5100650
BASS_FISHING,Sega Bass Fishing,MK-51006  ,USA,MK5100650
GETBASS2DATA,Get Bass 2,HDR-0169  ,Japan,HDR0169
BASSFISHING2,Sega Bass Fishing 2,MK-51166  ,USA,HDR0169
BMADDATA.00?,Black Matrix Advanced,T20101M   ,Japan,T20101M
AONODATA_???,Blue Submarine No. 6,HDR-0075  ,Japan,HDR0075
BOMB_HEH_SYS,Bomber Hehhe,T42903M   ,Japan,
BOMBERONLINE,Bomberman Online,MK-51065  ,USA,MK51065
BLUESTIN.00?,Blue Stinger,T13001D-05,Europe,T13001D
BLUESTIN.00?,Blue Stinger,T13001D 09,France,T13001D
BLUESTIN.00?,Blue Stinger,T13001D 18,Germany,T13001D
BLUESTIN.00?,Blue Stinger,HDR-0003  ,Japan,T13001D
BLUESTIN.00?,Blue Stinger,T13001N   ,USA,T13001D
BUST_A_MOVE4,Bust-A-Move 4,T-8109D-50,Europe,T8109D
BUST_A_MOVE4,Bust-A-Move 4,T-8117N   ,USA,T8109D
PZLBBL4FORDC,Puzzle Bobble 4,T42301M   ,Japan,T42301M
BUZZ2000.000,Disney/Pixar Buzz Lightyear of Star Command,T13005D 05,Europe,T13005D05
BUZZ2000.000,Disney/Pixar Buzz Lightyear of Star Command,T13007N   ,USA,T13005D05
BUZZ2000.000,Disney/Pixar Captain Buzz Lightyear: Star Command,T13005D 18,Germany,T13005D05
BUZZ2000.000,Disney/Pixar Les Aventures de Buzz L'Éclair,T13005D 09,France,T13005D05
CPAL2000.001,Caesars Palace 2000: Millennium Gold Edition,12502D-50 ,Europe,
CPAL2000.001,Caesars Palace 2000: Millennium Gold Edition,T-12504N  ,USA,
CANNONSP_000,Cannon Spike,T46601D 05,Europe,T46601D
CANNONSP_001,Cannon Spike,T1215N    ,USA,T46601D
CANVAS__.SYS,Canvas: Sepia-iro no Motif,T20108M   ,Japan,T20108M
CARRIER__???,Carrier,T44901D 50,Europe,T44901D50
CARRIER__???,Carrier,T5701M    ,Japan,T44901D50
CARRIER__???,Carrier,T5701N    ,USA,T44901D50
CF2R_DC_SAVE,Castle Fantasia: Seima Taisen,T46901M   ,Japan,
CENTIPEDE_01,Centipede,T40602N   ,USA,T40602N
SURFING1.???,Championship Surfer,T41402D 50,Europe,952014450
SURFING1.???,Championship Surfer,T41403N   ,USA,952014450
C_BLAST_DATA,Charge 'N Blast,T44902D 50,Europe,T44902D50
C_BLAST_DATA,Charge 'N Blast,T4402M    ,Japan,T44902D50
C_BLAST_DATA,Charge 'N Blast,T15127N   ,USA,T44902D50
CHICKENRUNDC,Chicken Run,T36814D 87,Europe,T36814D87
CHICKENRUNDC,Chicken Run,T36811N   ,USA,T36814D87
CHICKENRUNDC,Chicken Run,T36814D 05,UK,T36814D87
CHU_CHU__???,Chu-Chu Rocket!,HDR-0039  ,Japan,HDR0039
CHU_CHU__???,ChuChu Rocket!,MK-5104950,Europe,HDR0039
CHU_CHU__???,ChuChu Rocket!,MK-51049  ,USA,HDR0039
C_MISSION_DC,Confidential Mission,MK-5116050,Europe,MK5116050
C_MISSION_DC,Confidential Mission,HDR-0160  ,Japan,MK5116050
C_MISSION_DC,Confidential Mission,MK-51160  ,USA,MK5116050
COASTER1_00?,Coaster Works,T44903D 50,Europe,T44903D50
COASTER1_00?,Coaster Works,T15128N   ,USA,T44903D50
COMICPARTY00,Comic Party,T38301M   ,Japan,T38301M
CONFLICT.???,Conflict Zone,T46604D   ,Europe,T40214D50
CONFLICT.???,Conflict Zone,T17721N   ,USA,T46603D50
COOLCOOL.SYS,Cool Cool Toon,T3106M    ,Japan,T3106M
CRAZYTAXI_DC,Crazy Taxi,MK-51035  ,Europe,MK5103550
CRAZYTAXI_DC,Crazy Taxi,HDR-0053  ,Japan,MK5103550
